,fungi,plantae,animalia,chromista,TOTAL
Antartide,0,3,55,0,58
Isole caraibiche,1,1258,744,0,2003
Est asiatico,20,1016,1473,0,2509
Europa,115,1083,2552,0,3750
Mesoamerica,13,2457,1524,0,3994
Nord Africa,11,91,505,0,607
Nord America,126,831,1265,0,2222
Nord asiatico,59,97,292,0,448
Oceania,34,2956,2144,0,5134
Sud America,123,6543,3210,6,9882
Sud e sud-est asiatico,16,5545,3566,0,9127
Africa sub-sahariana,16,7830,3800,0,11646
Ovest e centro asiatico,19,719,902,0,1640
TOTALE,553,30429,22032,6,53020
