,residential and commericial development,agriculture and aquaculture,energy production and mining,transportation and service corridors,biological resource use,human intrusions and disturbance,natural system modifications,"invasive and other problematic species, genes and diseases",pollution,geological events,climate change and severe weather,other/unknown,TOTAL
Antartide,0,0,0,0,0,0,0,0,0,0,0,0,0
Isole caraibiche,0,0,0,0,0,0,1,0,0,0,0,0,1
Est asiatico,3,6,0,1,17,8,9,5,3,0,4,0,56
Europa,61,54,13,21,62,31,53,17,54,0,19,0,385
Mesoamerica,6,9,3,2,7,3,7,3,2,0,8,0,50
Nord Africa,4,5,1,1,5,5,6,1,4,0,3,0,35
Nord America,49,25,6,31,68,29,68,42,33,0,67,2,420
Nord asiatico,28,30,6,13,37,18,27,7,29,0,10,0,205
Oceania,14,11,1,3,4,12,17,16,3,0,10,1,92
Sud america,66,105,11,15,65,14,55,27,12,2,60,2,434
Sud e sud-est asiatico,3,10,1,3,11,3,6,1,2,0,1,0,41
Africa sub-sahariana,2,16,4,3,15,1,3,0,0,0,0,0,44
Ovest e centro asiatico ,12,12,1,2,10,2,8,0,4,0,7,0,58
TOTALE,248,283,47,95,301,126,260,119,146,2,189,5,1821
